ethnicity,receptive_vocabulary,expressive_vocabulary,listening_comprehension,matching_discrimination,counting
1,88.680084,70.753735,42.243457,37.108204,5.185253
2,82.627962,62.023166,35.357777,30.691528,3.652264
3,79.383332,55.704622,29.862567,25.533035,2.243786
3,78.266055,53.69808,28.213154,24.117186,1.903763
4,78.91484,54.167163,27.761501,23.158304,1.079575
5,74.908589,49.946801,25.507733,21.722392,1.448737
